0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=2,2,1,1,1,0,
1,1,0,2,2,1,    depth=10		parent=2,2,1,1,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=2,2,1,1,1,0,
1,1,0,2,2,1,    depth=10		parent=2,2,1,1,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=2,2,1,1,1,0,
1,1,0,2,2,1,    depth=10		parent=2,2,1,1,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=2,2,1,1,1,0,
1,1,0,2,2,1,    depth=10		parent=2,2,1,1,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
1,1,0,2,2,1,    depth=10		parent=3,1,1,0,2,0,
3,0,0,0,3,1,    depth=10		parent=3,1,1,0,2,0,
0,2,0,3,1,1,    depth=10		parent=2,2,1,1,1,0,
1,1,0,2,2,1,    depth=10		parent=2,2,1,1,1,0,
0,2,0,3,1,1,    depth=10		parent=2,2,1,1,1,0,
1,1,0,2,2,1,    depth=10		parent=2,2,1,1,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=2,2,1,1,1,0,
1,1,0,2,2,1,    depth=10		parent=2,2,1,1,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=2,2,1,1,1,0,
1,1,0,2,2,1,    depth=10		parent=2,2,1,1,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=2,2,1,1,1,0,
1,1,0,2,2,1,    depth=10		parent=2,2,1,1,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,0,0,3,3,1,    depth=10		parent=0,1,1,3,2,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
0,0,0,3,3,1,    depth=10		parent=0,2,1,3,1,0,
0,2,0,3,1,1,    depth=10		parent=2,2,1,1,1,0,
1,1,0,2,2,1,    depth=10		parent=2,2,1,1,1,0,
0,2,0,3,1,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=0,3,1,3,0,0,
0,1,0,3,2,1,    depth=10		parent=1,1,1,2,2,0,
0,0,0,3,3,1,    depth=10		parent=1,1,1,2,2,0,
0,1,0,3,2,1,    depth=10		parent=0,2,1,3,1,0,
